ID Institution,Institution,ID Stage 1a,Stage 1a,ID Stage 1b,Stage 1b,ID Stage 2,Stage 2,Avg efectiveness,Avg overcoming,Avg initiative,Avg integration,Avg improvement,Avg fairness,Avg sned_score
25916,ESCUELA BAS. SAN SEBASTIAN DE COLINA,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,74.11138916015625,42.50986099243164,71.7699966430664,84.08333587646484,81.48148345947266,95.52092742919922,70.47857666015625
25918,ESCUELA ESP. PART. CAMINO A BELEN N¦ 2,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,96.0,59.375,92.59259033203125,96.54935455322266,90.91845703125
25919,ESCUELA BASICA NEHUEN,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,66.92427062988281,45.167537689208984,0.0,0.0,92.59259033203125,93.24662017822266,59.77499771118164
25920,ESCUELA ESP. PART. CALIN,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,91.125,47.75,92.59259033203125,96.54935455322266,88.42202758789062
25921,COLEGIO CENTRO EDUCACIONAL ROUSSEAU,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,60.35786819458008,48.49583435058594,81.2300033569336,69.5,100.0,95.52092742919922,67.27465057373047
25922,COLEGIO TERRA AUSTRALIS,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,69.6393814086914,50.62846755981445,90.69999694824219,78.83333587646484,91.72113037109375,96.826171875,72.46238708496094
25923,ESCUELA ESP. PADRE PIO,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,98.375,71.25,100.0,98.09200286865234,94.41497039794922
25926,COLEGIO POLIV. JERUSALEN DE LAMPA,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,58.656795501708984,49.088069915771484,0.0,0.0,100.0,95.52092742919922,58.462276458740234
25927,ESCUELA BASICA TERRA DI BIMBI,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,68.64677429199219,51.8856315612793,83.77999877929688,94.25,92.59259033203125,95.52092742919922,72.53304290771484
25929,COLEGIO PADRE PEDRO ARRUPE SAGRADA FAMILIA,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,66.84140014648438,50.59505844116211,92.81818389892578,64.58333587646484,92.59259033203125,96.98039245605469,70.88372802734375
25931,ESCUELA ESP. SANTA RITA DE CASIA DE QTA. NORM,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,62.96296310424805,95.52092742919922,63.639610290527344
25932,COLEGIO DE ADULTOS LONDON DE LA FLORIDA,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,66.20064544677734,47.565067291259766,0.0,0.0,92.59259033203125,95.52092742919922,60.67891311645508
25933,ESCUELA BASICA ALBORADA SCHOOL,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,59.31244659423828,40.11058044433594,99.05000305175781,80.5,74.0740737915039,97.01155090332031,65.96858978271484
25935,ESCUELA ESPECIAL LA ISLA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,100.0,98.125,100.0,98.09200286865234,98.53282928466797
25936,COLEGIO NUEVO HORIZONTE DE PUENTE ALTO,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,59.36914825439453,53.655517578125,85.62999725341797,67.83333587646484,92.59259033203125,95.52092742919922,68.38605499267578
25937,ESC. DE PARV. Y ESPECIAL COMUNICA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,86.5,95.625,92.59259033203125,98.09200286865234,95.43811798095703
25938,LICEO DE ADULTOS CEIA DE LA PINTANA,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,53.83206558227539,47.478721618652344,86.30000305175781,73.625,92.59259033203125,96.92253875732422,65.24596405029297
25940,ESCUELA DE PARV. PARQUE O'HIGGINS,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,60.50236892700195,47.2756462097168,0.0,0.0,100.0,95.52092742919922,58.63766098022461
25941,ESCUELA PART. SPRING COLLEGE N_ 2,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,51.51417922973633,47.923587799072266,87.05000305175781,83.5,92.59259033203125,97.17587280273438,65.10739135742188
25943,ESCUELA ESPECIAL MIRADOR AZUL,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,92.59259033203125,95.52092742919922,65.33273315429688
25944,ESCUELA PART. PARTHENON COLLEGE,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,74.08228302001953,52.23712158203125,86.1500015258789,98.75,100.0,95.52092742919922,75.15794372558594
25946,ESCUELA PARVULOS MY SECOND HOME,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,67.47740936279297,47.23710632324219,0.0,0.0,55.55555725097656,95.52092742919922,60.31874465942383
